Credit_total	Sexe	Education	Statut_marital	Age	Statut_mois_1	Statut_mois_2	Statut_mois_3	Statut_mois_4	Statut_mois_5	Statut_mois_6	Montant_mois_1	Montant_mois_2	Montant_mois_3	Montant_mois_4	Montant_mois_5	Montant_mois_6	Versement_mois_1	Versement_mois_2	Versement_mois_3	Versement_mois_4	Versement_mois_5	Versement_mois_6
4762	2	2	1	29	0	0	0	0	0	-2	4870	4061	1920	1960	0	0	171	93	93	0	0	0
3333	2	2	2	26	-1	-1	-1	-1	0	0	240	154	322	2248	2221	2252	154	323	2248	74	86	86
4762	2	1	1	39	-1	-1	-1	-2	-1	-1	345	189	0	0	12	105	189	0	0	12	105	0
3333	1	1	2	29	0	0	0	0	0	0	709	765	810	561	580	103	95	71	71	24	24	48
3095	2	2	2	25	1	2	2	2	0	0	105	99	239	127	130	109	0	143	0	4	8	2
2143	2	2	2	23	0	0	0	0	0	0	285	446	468	334	339	224	167	32	26	9	7	8
6429	1	1	2	33	-1	-1	-1	-1	-1	-1	231	223	332	213	364	429	224	333	213	365	429	5
7143	1	2	2	27	-1	-1	-1	-1	0	-1	33	596	226	2179	1923	64	598	228	2180	6	64	24
3810	2	2	1	55	0	0	0	0	0	0	2052	1999	1466	1398	1354	1333	95	71	48	48	71	119
4762	2	2	2	26	0	0	0	-1	0	0	299	272	114	279	293	257	26	24	279	62	8	6
7857	1	2	1	48	-2	-2	-2	-2	-2	-2	144	199	213	65	65	65	200	214	65	65	65	65
6190	2	2	1	37	1	-1	-1	-1	0	-1	0	7	22	897	870	14	7	22	897	0	14	8
2857	2	1	2	24	0	0	0	0	0	0	1805	1810	1600	1189	790	472	88	48	48	48	29	24
3810	2	2	2	25	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
11905	2	1	1	38	-1	2	-1	-1	-1	0	14	7	12	7	14	11	0	12	7	14	7	14
1905	2	2	2	26	0	-1	0	0	0	-1	12	10	85	54	53	115	12	84	52	52	200	192
1429	2	2	2	23	0	0	0	0	0	0	1343	1360	1382	1405	942	928	49	54	49	36	36	36
5476	2	1	2	28	0	-1	0	0	-1	0	374	314	585	741	1442	237	314	477	262	1442	190	144
3810	2	2	1	31	0	0	0	0	0	0	3222	3482	1825	1901	1975	2028	119	238	119	119	95	95
1190	1	2	2	35	0	0	0	0	-1	-1	346	258	228	174	30	79	48	48	48	30	78	0
476	1	2	2	21	0	0	0	0	0	0	445	440	467	437	223	0	38	42	24	24	0	0
1429	1	2	2	24	0	0	0	0	0	0	1137	627	394	376	423	225	35	48	0	48	0	0
5476	2	1	1	46	-2	-2	-2	-2	-2	-2	118	225	183	126	49	150	225	183	126	49	150	432
1190	1	2	2	30	0	0	0	0	0	0	1203	1161	1064	472	325	259	95	53	24	36	24	36
1190	1	1	2	26	-1	0	0	0	0	0	429	442	457	466	477	445	39	30	16	17	23	17
5238	2	1	2	24	0	0	0	0	0	0	1236	1264	1290	1316	1347	1381	48	47	48	53	60	56
238	1	3	2	24	1	3	2	3	2	0	132	138	144	138	133	140	12	12	0	0	10	9
6667	1	2	2	30	0	0	0	0	0	0	694	355	5652	5567	4735	4502	31	5568	165	141	456	141
714	2	3	2	33	0	0	2	0	0	2	535	604	587	603	631	622	78	0	29	34	0	13
9524	2	1	2	33	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
4048	1	2	1	49	2	2	2	2	2	2	643	716	431	454	447	191	96	0	25	0	19	0
5476	2	1	2	36	-1	-1	-1	0	0	0	37	7	200	178	156	14	7	200	0	0	0	8
2381	2	1	1	39	2	2	2	2	2	2	2316	2370	2379	2376	2325	2404	112	70	74	0	147	0
1190	1	2	1	45	1	2	0	0	0	0	1177	1151	1170	1177	498	478	0	49	33	17	17	17
4048	1	1	2	36	-1	-1	-1	-1	-1	-1	201	15	180	0	12	14	15	180	0	12	14	0
9524	1	2	1	40	7	6	5	4	3	2	9652	9470	9283	9166	9092	8555	0	0	0	3	54	1015
1667	2	2	2	30	2	0	0	2	0	0	709	727	786	767	783	800	37	71	0	29	30	48
5000	2	2	2	34	0	0	0	0	0	0	1516	1364	1413	1461	1509	1551	52	71	71	71	71	83
1190	1	3	1	44	0	0	0	0	0	0	379	413	446	457	419	401	48	48	24	24	24	24
4286	2	3	2	25	0	0	0	0	0	0	2871	2318	2090	2132	2182	2238	84	76	76	83	95	88
5238	2	2	2	39	0	0	0	0	0	0	3385	3359	3343	3346	3341	3351	167	167	119	143	150	143
5000	2	1	1	44	-1	-1	-1	-2	-2	-2	357	46	0	0	0	0	46	0	0	0	0	0
1190	2	2	2	44	-1	-1	-1	-1	-1	-1	12	35	30	20	2	6	35	30	20	2	6	14
1905	2	3	1	49	0	0	0	0	0	0	1904	1808	1761	1712	1426	1414	64	68	71	71	95	60
11905	2	1	2	51	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
10714	2	1	2	25	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
4286	1	2	2	43	-1	-1	-2	-2	-2	-2	141	136	57	248	60	52	137	57	248	60	52	331
3810	2	2	1	34	0	0	0	0	0	0	126	141	167	193	205	225	36	29	48	24	24	12
1905	1	1	1	41	2	2	2	2	2	2	1904	1975	1992	2011	1998	1909	117	71	71	74	0	262
6190	1	1	2	29	0	0	0	0	0	0	1240	1240	1112	1131	1072	1149	143	119	119	95	119	119
2857	2	1	2	32	0	0	0	0	2	0	763	949	1023	1045	648	6	238	119	75	0	0	2754
5238	2	2	1	33	-2	-2	-2	-2	-2	-2	230	198	38	32	195	339	198	38	32	195	339	84
3571	2	1	2	25	0	0	0	0	-1	0	3585	3540	3507	3451	1288	145	124	76	88	1649	25	0
11905	2	2	1	32	0	0	0	0	0	0	9655	9933	10225	10272	10477	10691	476	452	286	214	214	10548
7619	2	2	2	33	-1	-1	-1	-1	-1	-1	381	46	210	89	18	130	46	210	89	18	130	18
4762	1	1	2	31	1	-2	-1	-1	-1	-1	0	0	1198	673	1004	0	0	1198	673	1004	120	72
1190	2	1	2	39	0	0	0	0	0	0	1128	1159	1151	1080	463	473	50	55	31	24	17	14
9286	2	1	1	28	0	0	0	0	0	0	1445	1534	1607	1633	1557	1586	119	119	119	119	119	119
2143	2	2	1	24	0	0	0	0	0	2	2058	2136	1683	1752	2161	1278	119	79	544	79	0	39
5952	2	1	1	47	-1	-1	-1	-1	-1	-1	1026	253	1186	473	1335	1082	253	1186	473	1335	1082	712
1667	2	2	1	29	0	0	0	0	0	-2	274	262	333	163	0	0	48	96	48	0	0	0
3810	1	1	1	39	-2	-2	-2	-2	-2	-2	99	0	0	0	70	0	1	0	0	70	0	289
1190	1	4	2	46	0	0	0	-1	0	0	1175	1182	474	457	466	456	34	24	457	16	17	18
8571	2	3	1	39	-1	-1	-1	-1	-1	-2	118	4	48	27	0	0	4	48	27	0	0	0
2143	2	2	1	34	-1	2	-1	-1	-2	-2	8	4	10	0	0	0	0	10	0	0	0	0
4048	2	2	2	51	0	0	0	0	0	0	3673	3850	3930	3958	2611	2688	238	179	161	95	119	119
2381	2	1	2	33	0	0	0	0	0	0	1795	1067	1126	922	936	964	48	119	36	38	48	65
2619	2	2	2	26	-2	-2	-2	-2	-2	-2	10	77	136	30	44	10	77	141	0	71	0	0
3571	1	1	1	35	0	0	0	0	0	0	3816	3666	3089	2454	1296	1118	145	121	100	45	38	36
476	1	2	1	27	0	0	0	-2	-2	-2	386	108	0	0	0	0	48	0	0	0	0	0
4762	2	1	1	37	1	-2	-2	-2	-1	-1	0	0	0	0	14	0	0	0	0	14	0	56
2143	1	2	1	31	0	0	0	0	-2	-2	126	179	247	0	0	0	60	71	0	0	0	0
3095	2	2	2	30	0	0	0	0	-2	-2	3020	3069	372	0	0	0	138	24	0	0	0	0
5952	2	2	2	30	0	0	0	0	0	0	4701	4806	4911	5023	5136	5207	179	179	190	190	190	202
8333	1	1	2	35	2	-1	-1	0	-1	-1	2	79	1192	191	197	550	79	1195	1	198	550	119
3571	2	1	2	27	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
7381	2	3	1	31	0	0	0	0	0	0	5100	4243	3350	2497	1839	1766	214	143	119	71	95	71
1190	1	2	2	37	0	0	0	0	0	0	1194	1203	1192	1170	1159	0	49	48	33	40	0	0
1429	2	2	2	25	0	0	0	0	0	0	188	220	264	289	402	419	36	48	30	119	24	17
476	1	2	2	34	-1	-1	-1	2	2	-2	9	9	19	19	0	0	9	19	0	0	0	0
2381	2	1	2	27	0	0	0	0	0	0	1038	1092	1296	1334	1416	1131	71	238	63	119	48	95
4524	1	2	2	34	2	0	0	0	2	2	3090	3128	3200	3389	3336	3573	119	119	238	0	289	66
476	2	3	1	54	1	2	2	2	0	0	171	165	200	217	233	250	0	38	24	24	21	0
5714	2	2	1	43	0	0	0	0	0	0	1155	1167	1120	1091	941	973	52	46	40	48	48	31
5476	2	1	2	27	1	2	0	0	-1	-1	1110	1077	250	161	104	40	0	24	3	104	40	67
1905	2	3	1	57	0	0	0	0	0	0	1912	1548	1484	1031	973	966	81	329	85	39	36	43
6667	2	2	2	31	0	0	0	0	0	0	3515	3588	3733	3720	3789	3885	167	238	143	124	143	129
3571	2	2	1	39	2	2	0	0	0	0	3731	3637	3590	3337	3408	3613	0	136	119	124	262	0
476	2	2	2	23	1	2	0	0	0	2	371	358	376	407	445	435	0	30	38	52	0	88
476	2	3	1	44	0	0	0	2	2	2	182	214	259	295	271	0	35	62	48	0	0	0
9524	1	1	2	39	2	2	2	2	2	2	1175	1208	1183	1255	1221	1311	60	0	107	0	114	38
4762	1	2	2	40	0	0	0	0	0	2	400	425	442	452	582	569	38	31	17	138	0	71
3333	2	2	2	26	0	0	-1	-1	-1	0	195	90	90	90	99	102	24	90	90	99	24	120
2143	2	2	2	29	0	0	0	0	0	0	2121	1997	1845	1108	1149	1189	97	120	71	71	71	48
7619	1	2	1	37	-2	-2	-2	-2	-2	-2	1036	12	10	339	129	71	12	10	341	130	71	120
1429	2	2	1	33	2	0	0	0	0	0	1431	1452	1324	1308	1142	709	60	48	119	48	48	0
2381	2	1	1	38	-1	-1	-1	-1	-1	-1	40	17	43	47	0	15	17	43	47	0	15	0
5714	2	2	1	40	-1	-1	-1	-1	-1	-1	8	8	8	8	8	8	8	8	8	8	8	8
1905	2	3	1	39	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
5476	1	1	2	27	-1	-1	-1	-1	-1	-1	78	43	43	43	18	80	43	43	43	18	80	24
5952	1	1	2	41	-1	3	2	2	2	-2	4	4	37	33	0	0	0	33	0	0	0	0
9524	2	2	1	39	-2	-2	-2	-2	-1	-1	2171	1324	334	485	2147	1882	1333	335	486	2147	1885	828
5000	2	1	2	31	0	0	0	0	0	0	956	989	1024	1048	1078	1104	48	60	48	48	48	48
3333	2	1	2	31	-2	-2	-2	-2	-2	-1	380	593	290	94	73	55	599	290	94	73	55	11
8095	2	2	1	36	0	0	0	0	0	0	3987	3697	3202	3093	2712	2540	169	106	97	84	108	98
9286	1	1	1	34	0	0	0	-1	0	0	2183	1633	2410	2303	2995	4336	1430	2022	2883	1905	2024	190
4762	2	3	1	53	0	0	0	0	0	0	3001	3072	3104	3172	3242	3303	155	119	119	121	119	129
3333	1	2	2	38	0	0	0	2	0	0	3276	3236	3392	3348	3318	3356	143	298	95	119	143	126
1190	1	1	2	28	0	0	0	0	0	0	1001	1128	1130	1183	1168	0	262	119	119	750	0	0
3095	1	2	1	34	0	0	0	0	0	0	3095	3164	3062	3108	2404	2299	156	160	144	96	88	85
10476	2	1	2	33	-1	-1	-1	-1	-1	-1	7	7	20	257	18	14	7	20	258	18	14	101
4286	2	1	2	30	-2	-1	-1	-1	-1	-1	0	63	18	57	6	92	63	18	57	6	92	7
8571	1	3	2	34	0	0	0	0	0	0	7259	7173	6146	6079	5570	5617	357	220	220	193	199	214
4762	1	1	1	32	-1	2	-1	2	-1	-1	18	9	18	9	9	0	0	18	0	9	0	3675
4762	2	2	2	26	-2	-2	-2	-2	-2	-2	1384	35	55	7790	159	94	35	55	3895	159	94	60
3571	2	2	2	23	0	0	0	0	0	0	186	329	158	139	250	129	167	24	25	143	58	3
11905	1	1	1	51	1	2	2	0	0	0	5507	5616	5493	5605	5686	5797	234	0	239	211	210	214
3571	1	1	1	42	0	0	0	0	0	2	3250	3482	3515	3301	3491	3558	323	179	252	267	129	0
5238	2	2	2	30	1	2	0	0	0	0	134	128	153	178	195	2662	0	31	30	24	2473	103
3810	2	1	2	36	1	2	0	0	0	0	3902	2770	2823	2842	2906	2901	0	135	100	107	105	101
952	1	1	2	35	-2	-2	-2	-2	-2	-2	0	54	36	0	59	33	54	36	0	59	33	32
2857	2	3	2	37	-1	-1	-1	-1	-1	-1	18	38	18	18	18	18	38	18	18	18	18	18
1667	2	3	1	43	2	0	0	0	0	0	1097	955	943	739	653	397	40	40	30	24	12	24
8571	1	1	2	32	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
238	1	1	2	26	0	0	0	0	0	0	106	134	159	188	205	223	33	31	36	24	24	0
11905	2	1	2	44	-2	-2	-2	-2	-2	-2	0	124	95	0	87	181	124	95	0	87	181	64
4048	2	2	2	26	2	0	0	0	2	0	2647	2700	2757	2854	2788	2811	97	136	179	48	100	119
476	2	2	1	36	1	2	2	2	2	2	385	419	406	469	472	446	48	0	79	17	0	29
4762	1	1	1	41	-1	-1	-1	-1	-1	-1	14	14	14	14	14	14	14	14	14	14	14	17
2857	2	1	1	43	0	0	0	0	0	2	583	637	690	716	803	143	71	71	48	119	0	238
2143	2	3	1	47	0	0	0	0	0	0	2005	2067	2116	1956	538	524	95	105	85	183	24	24
1190	2	1	2	27	0	0	0	0	0	0	1057	1071	1108	1096	1158	992	48	71	57	72	119	0
3571	2	2	1	47	-1	-1	-1	-1	-1	2	8	8	8	0	19	8	8	8	0	26	0	0
476	2	1	2	24	0	0	0	2	0	0	460	478	464	449	453	427	34	86	0	17	107	45
3810	2	2	2	30	0	0	0	0	0	0	3239	2065	2048	2095	2076	2009	84	83	83	95	83	83
8571	2	1	2	50	-1	-1	-1	-1	-1	-1	275	280	0	68	41	0	280	0	68	41	0	265
2381	1	3	2	47	0	0	0	0	0	-2	2254	2312	2370	2444	0	0	95	95	119	0	0	0
3095	1	1	2	27	0	0	0	-2	-2	-2	1706	1139	0	0	0	0	48	0	0	0	0	0
2381	2	2	1	34	-1	2	2	-1	-1	-1	6	6	3	173	3	3	3	0	173	3	3	3
3333	2	2	2	31	-2	-2	-2	-2	-2	-2	9	0	0	0	0	0	0	0	0	0	0	0
1190	2	1	2	22	0	0	0	2	0	-1	85	109	183	287	89	2	26	76	0	48	2	699
1905	2	3	1	27	0	0	-1	0	0	0	431	165	639	554	497	419	25	650	34	10	10	5
3095	2	1	2	32	0	0	0	0	0	0	3002	3074	3113	3032	3043	2857	167	190	119	107	107	119
1429	2	2	1	36	0	0	0	0	0	-1	1427	1363	649	526	340	291	43	138	24	119	291	190
3333	1	2	2	48	0	0	2	2	2	0	2856	2975	2974	3088	2888	2889	203	112	225	0	119	238
1905	1	1	1	53	0	-1	0	0	0	2	227	1022	1003	729	771	756	1022	57	45	62	0	64
8333	2	2	2	33	0	0	0	0	0	0	6983	8054	4226	4342	4635	5120	1192	238	190	358	715	193
952	2	4	1	48	0	0	0	0	0	0	902	959	961	952	952	0	78	33	0	0	0	0
476	2	2	1	25	-1	2	0	0	0	0	470	456	464	403	283	228	0	29	0	119	24	0
4048	2	1	1	41	0	0	0	0	0	0	3943	3298	3242	1452	1416	1053	1905	113	48	49	42	248
7143	2	1	2	48	2	0	0	0	0	0	7239	7277	7278	6405	6553	6200	274	286	238	250	238	238
4524	1	2	1	37	2	-1	0	0	-1	2	59	191	230	0	121	56	191	48	0	121	0	66
2381	1	2	1	52	0	0	0	0	0	0	515	547	578	597	614	653	48	48	36	26	53	0
4762	2	1	2	35	0	0	0	0	0	0	2364	2089	1962	1997	1972	845	65	71	48	65	38	215
5714	2	2	1	42	-1	-1	-1	-1	-1	-1	15	0	8	15	0	8	0	8	15	0	8	23
2381	2	2	2	25	2	0	0	0	0	0	1688	1707	1670	1663	1660	1223	83	50	48	51	47	37
7381	2	2	2	27	1	2	0	0	2	0	4593	4488	4546	4829	4748	4853	0	167	357	0	190	190
9048	2	1	1	36	-2	-1	-1	-1	-1	2	89	484	202	1268	2415	823	488	204	1273	2423	3	770
1190	2	1	2	31	2	2	3	2	0	0	1164	1286	1245	1209	1144	1088	155	0	0	75	60	40
1667	2	2	1	38	0	0	0	0	0	0	1409	904	826	850	863	881	52	45	45	34	35	32
3571	2	1	1	47	-2	-2	-2	-2	-2	-2	932	364	306	298	127	50	366	307	299	127	50	63
1190	1	2	2	23	0	0	0	0	0	0	823	442	460	432	460	466	68	29	310	36	214	24
476	2	3	2	54	0	0	0	0	0	0	384	409	431	359	367	374	31	29	30	13	13	36
11667	2	2	2	35	0	0	0	0	-1	0	1145	1078	1112	979	481	154	71	119	119	481	71	28
4286	2	2	2	33	-1	-1	-1	0	-1	-1	150	43	28	26	16	2	43	28	0	16	2	211
6190	1	2	2	29	0	0	0	0	0	2	4526	4601	4346	4416	4714	7509	163	163	195	476	0	238
1190	2	1	2	25	0	0	0	0	0	2	1013	824	645	441	479	467	45	34	14	71	0	24
7857	2	3	2	31	-1	-1	-1	-1	-1	-1	130	729	151	144	52	0	729	151	144	134	0	4
15476	1	1	1	44	-2	-2	-2	-2	-2	-2	50	121	123	170	25	51	122	123	171	25	51	82
5476	1	1	1	41	1	-1	-1	-1	-1	-1	0	35	51	56	62	0	35	51	61	62	0	0
7619	2	2	1	47	-1	-1	2	-1	2	-1	242	899	371	934	677	598	907	0	939	0	598	842
4048	1	1	1	53	0	0	0	0	0	0	425	427	448	420	429	308	32	28	13	13	15	9
2857	2	3	2	50	0	-1	0	0	0	0	3560	2826	2858	2396	1896	1888	2976	97	95	71	71	71
6667	2	1	2	29	-1	-1	-1	-1	-1	-1	18	19	33	45	3	30	19	33	45	3	30	8
2381	2	2	2	27	2	3	3	2	2	3	2313	2325	2297	2309	2411	2427	69	31	71	130	48	0
16667	2	2	2	34	-2	-2	-2	-2	-2	-2	45	103	19	19	46	5	104	19	19	46	5	15
1190	1	2	2	29	0	0	0	0	0	-2	769	576	578	589	0	0	40	48	31	0	0	0
1667	2	2	2	23	-1	-1	-1	0	0	0	43	8	157	152	173	193	8	157	5	30	31	6
1190	1	2	2	25	0	-1	-1	-1	-1	-1	38	7	14	10	18	10	7	14	10	18	10	7
4762	2	1	1	32	0	0	0	0	0	-1	861	569	589	600	1622	229	219	167	357	238	238	238
6429	2	1	2	26	0	0	0	0	0	0	4980	4805	4429	4138	3796	3314	153	142	163	90	93	100
476	2	2	2	46	1	2	2	2	0	0	396	383	457	469	458	926	0	83	24	17	26	26
8571	1	2	1	37	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
5476	2	1	1	39	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
714	1	2	1	43	0	0	0	0	0	0	587	594	582	562	564	551	59	32	24	20	24	20
1667	1	3	2	26	0	0	2	0	0	0	1536	1649	1481	1495	1144	1169	141	0	55	41	48	48
4762	2	1	1	41	-1	-1	-1	-1	-1	-1	108	208	84	132	246	164	208	84	132	246	164	76
2857	2	1	2	28	-1	2	-1	-1	2	2	14	14	372	182	175	219	0	372	71	0	48	0
10714	1	1	1	33	-1	-1	-1	-1	-1	-1	9	9	9	9	9	24	9	9	9	9	24	19
476	1	3	2	45	1	-1	-1	-1	-1	-2	0	9	0	19	0	0	19	0	19	0	0	0
1190	2	2	2	33	0	0	0	0	0	0	298	387	427	383	406	453	95	48	24	48	57	24
476	1	2	1	42	0	0	0	0	0	0	336	360	392	438	447	457	30	38	60	24	17	21
5000	2	1	2	40	0	0	0	0	0	0	3813	3715	3580	3519	3475	3468	131	167	159	126	130	130
1429	2	2	1	47	2	2	2	2	0	0	638	693	715	689	699	708	81	48	0	36	31	83
1190	2	3	1	59	1	2	0	0	0	0	1071	1047	1071	1089	1113	1138	0	49	42	45	48	53
5000	1	1	2	30	-1	0	0	0	0	0	25	77	98	141	111	157	52	24	76	48	48	1190
6905	2	2	2	29	0	0	0	0	0	0	6308	6230	6267	6276	6185	4952	293	250	203	209	177	191
3571	1	2	1	39	0	0	0	2	2	2	1819	1877	2078	2026	2222	2185	99	252	0	231	0	79
1190	1	1	2	44	0	0	0	0	0	0	1294	1230	1197	1174	1123	1192	71	46	38	36	310	37
1905	2	1	2	40	0	0	0	0	0	0	653	664	677	560	181	80	44	33	32	5	6	1
2143	2	2	3	40	1	2	0	0	0	2	2137	2152	2082	1471	1625	1595	71	66	57	182	0	65
476	2	3	1	35	0	0	0	-1	-1	-1	405	427	439	167	0	24	36	24	171	0	24	48
2857	1	1	2	29	-2	-2	-2	-2	-2	-2	2841	2839	2871	1690	0	0	120	96	79	0	0	1619
11905	2	2	1	33	-1	-1	-1	-1	-1	-1	226	35	90	14	193	43	35	90	14	193	43	23
1190	1	1	2	36	2	2	0	0	0	0	1094	1069	972	799	1115	574	0	47	42	20	42	24
1905	1	2	2	30	0	0	0	0	0	0	1532	1567	1578	1602	1626	1710	70	60	60	60	119	71
4524	2	1	2	28	0	0	0	0	0	0	3374	3416	3499	3617	3656	3730	134	138	176	134	137	152
714	1	1	2	47	2	0	0	0	2	2	612	636	661	686	724	709	34	36	36	52	0	29
5000	1	2	1	31	-1	-1	2	-1	-1	-1	42	59	18	49	18	18	59	0	49	18	18	18
714	1	3	1	46	1	2	0	0	0	0	465	450	476	502	510	540	0	40	40	24	42	0
5714	2	1	2	33	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
1190	1	3	1	41	2	2	2	2	-2	-2	481	376	323	0	0	0	64	2	0	0	0	0
4762	2	1	1	55	0	0	0	0	0	0	2638	2653	2306	1837	1949	1858	90	101	63	139	66	70
5476	2	1	2	38	0	0	0	0	0	0	600	682	782	846	639	474	238	357	146	238	143	95
4048	2	2	1	33	0	0	0	0	0	0	4104	4121	4075	2890	2822	2888	156	150	91	85	94	95
2381	2	2	1	38	2	2	0	0	0	0	1208	1182	1203	1230	1258	1308	0	48	48	48	71	71
8571	1	2	2	44	0	0	0	0	0	0	4500	3687	2906	2842	2054	1990	144	120	120	72	56	71
9524	2	1	2	28	-1	0	-1	0	0	0	34	37	526	500	470	300	25	526	10	1	16	19
476	1	2	2	24	0	0	0	0	0	0	425	370	324	335	327	389	48	48	24	24	71	48
